timestamp,gyro_x,gyro_y,gyro_z
0.003,3.420,2.511,0.557
0.019,3.160,2.412,0.466
0.034,3.198,2.588,0.580
0.048,3.405,2.260,0.634
0.063,3.420,2.565,0.618
0.078,3.282,2.519,0.557
0.093,3.405,2.435,0.466
0.108,3.122,2.290,0.794
0.122,3.420,2.420,0.496
0.137,3.328,2.534,0.672
0.152,3.397,2.565,0.534
0.167,3.443,2.328,0.458
0.182,3.397,2.573,0.580
0.197,3.374,2.710,0.634
0.213,3.534,2.305,0.443
0.228,3.252,2.573,0.634
0.243,3.221,2.817,0.634
0.257,3.282,2.382,0.580
0.272,3.275,2.588,0.626
0.287,3.649,2.580,0.573
0.302,3.328,2.603,0.748
0.317,3.374,2.321,0.695
0.332,3.168,2.443,0.664
0.347,3.565,2.351,0.557
0.361,3.389,2.611,0.710
0.379,3.389,2.519,0.550
0.394,3.366,2.511,0.443
0.409,3.366,2.550,0.504
0.424,3.443,2.267,0.275
0.438,3.489,2.626,0.794
0.453,3.489,2.672,0.435
0.468,3.344,2.481,0.534
0.483,3.153,2.763,0.824
0.498,3.420,2.748,0.412
0.513,3.237,2.618,0.534
0.527,3.214,2.374,0.565
0.542,3.046,2.580,0.565
0.557,3.496,2.885,0.809
0.572,3.252,2.504,0.366
0.587,3.344,2.733,0.626
0.602,3.244,2.412,0.626
0.617,3.420,2.626,0.573
0.631,3.298,2.298,0.565
0.646,3.313,2.412,0.733
0.661,3.298,2.534,0.496
0.676,3.412,2.550,0.649
0.691,3.359,2.122,0.588
0.706,3.420,2.450,0.740
0.721,3.328,2.519,0.672
0.736,3.527,2.649,0.489
0.751,3.481,2.427,0.626
0.766,3.427,2.359,0.511
0.781,3.458,2.504,0.756
0.795,3.489,2.473,0.534
0.810,3.221,2.580,0.733
0.825,3.267,2.420,0.824
0.840,3.313,2.206,0.809
0.855,3.511,2.344,0.504
0.870,3.206,2.786,0.427
0.885,3.511,2.496,0.458
0.900,3.412,2.374,0.855
0.916,3.260,2.695,0.817
0.932,3.405,2.458,0.519
0.949,3.351,2.450,0.473
0.964,3.389,2.534,0.611
0.980,3.366,2.282,0.740
0.995,3.344,2.351,0.611
1.010,3.420,2.450,0.733
1.026,3.321,2.420,0.466
1.043,3.466,2.634,0.542
1.059,3.397,2.336,0.389
1.075,3.397,2.496,0.519
1.090,3.511,2.527,0.641
1.105,3.298,2.725,0.267
1.121,3.626,2.489,0.527
1.138,3.443,2.794,0.389
1.154,3.450,2.550,0.489
1.171,3.626,2.427,0.672
1.187,3.748,2.641,0.534
1.203,3.550,2.420,0.580
1.220,3.466,2.603,0.420
1.236,3.252,2.481,0.588
1.251,3.382,2.565,0.679
1.266,3.359,2.725,0.580
1.282,3.389,2.511,0.550
1.298,3.511,2.305,0.649
1.314,3.496,2.618,0.489
1.330,3.580,2.649,0.603
1.346,3.328,2.656,0.611
1.362,3.679,2.450,0.756
1.378,3.519,2.237,0.504
1.394,3.145,2.458,0.496
1.411,3.649,2.702,0.282
1.427,3.336,2.534,0.527
1.443,3.519,2.366,0.634
1.459,3.237,2.664,0.382
1.476,3.389,2.656,0.420
1.492,3.321,2.389,0.573
1.509,3.229,2.603,0.435
1.525,3.336,2.511,0.389
1.540,3.145,2.595,0.588
1.558,3.412,2.664,0.733
1.574,3.382,2.573,0.664
1.590,3.214,2.344,0.450
1.607,3.198,2.519,0.450
1.623,3.580,2.565,0.664
1.639,3.313,2.733,0.481
1.654,3.420,2.359,0.809
1.670,3.588,2.443,0.550
1.690,3.550,2.458,0.649
1.706,3.458,2.458,0.626
1.720,3.275,2.634,0.626
1.736,3.450,2.374,0.435
1.752,3.374,2.527,0.611
1.769,3.435,2.687,0.481
1.785,3.489,2.435,0.282
1.802,3.366,2.511,0.511
1.818,3.176,2.450,0.656
1.834,3.473,2.649,0.557
1.850,3.282,2.519,0.611
1.867,3.511,2.366,0.740
1.883,3.443,2.725,0.275
1.899,3.458,2.435,0.740
1.915,3.336,2.481,0.809
1.932,3.351,2.237,0.405
1.948,3.351,2.534,0.595
1.964,3.481,2.282,0.901
1.980,3.267,2.725,0.656
1.996,3.313,2.550,0.504
2.013,3.229,2.527,0.489
2.029,3.489,2.702,0.542
2.045,3.336,2.550,0.473
2.061,3.626,2.595,0.641
2.078,3.168,2.748,0.794
2.094,3.504,2.313,0.550
2.110,3.427,2.527,0.305
2.126,3.420,2.664,0.618
2.142,3.244,2.611,0.443
2.158,3.557,2.573,0.649
2.175,3.580,2.473,0.519
2.191,3.206,2.282,0.908
2.207,3.382,2.748,0.267
2.223,3.405,2.481,0.672
2.240,3.176,2.542,0.710
2.256,3.244,2.786,0.603
2.272,3.595,2.527,0.519
2.289,3.176,2.321,0.695
2.305,3.298,2.473,0.687
2.321,3.321,2.450,0.679
2.338,3.443,2.305,0.550
2.354,3.313,2.282,0.466
2.370,3.351,2.748,0.328
2.386,3.237,2.305,0.603
2.403,3.489,2.435,0.656
2.419,3.534,2.443,0.435
2.435,3.351,2.908,0.405
2.451,3.267,2.649,0.817
2.467,3.328,2.305,0.527
2.484,3.160,2.489,0.649
2.500,3.137,2.580,0.542
2.516,3.405,2.733,0.672
2.532,3.374,2.504,0.443
2.548,3.374,2.771,0.626
2.565,3.344,2.359,0.763
2.581,3.405,2.809,0.527
2.597,3.580,2.557,0.893
2.613,3.305,2.382,0.595
2.630,3.290,2.504,0.649
2.646,3.412,2.336,0.664
2.662,3.328,2.611,0.756
2.678,3.290,2.466,0.687
2.694,3.130,2.603,0.397
2.711,3.359,2.527,0.718
2.727,3.450,2.489,0.565
2.743,3.382,2.710,0.511
2.759,3.344,2.710,0.573
2.775,3.305,2.366,0.580
2.791,3.366,2.603,0.519
2.808,3.183,2.687,0.580
2.824,3.237,2.573,0.817
2.840,3.405,2.618,0.328
2.856,3.382,2.656,0.733
2.872,3.557,2.366,0.641
2.889,3.473,2.511,0.779
2.905,3.603,2.710,0.573
2.921,3.603,2.191,0.382
2.937,3.481,2.427,0.809
2.954,3.473,2.679,0.595
2.970,3.206,2.344,0.389
2.986,3.489,2.832,0.351
3.002,3.237,2.389,0.656
3.019,3.275,2.481,0.534
3.035,3.183,2.550,0.687
3.051,3.519,2.450,0.626
3.067,3.450,2.656,0.481
3.084,3.038,2.588,0.679
3.100,3.115,2.450,0.397
3.118,3.603,2.679,0.511
3.134,3.511,2.573,0.908
3.150,3.168,2.534,0.458
3.166,3.412,2.450,0.221
3.183,3.481,2.687,0.435
3.199,3.336,2.481,0.527
3.215,3.366,2.389,0.611
3.231,3.397,2.519,0.557
3.248,3.550,2.557,0.519
3.264,3.542,2.664,0.435
3.280,3.557,2.489,0.687
3.296,3.412,2.672,0.412
3.312,3.511,2.321,0.397
3.329,3.160,2.466,0.626
3.345,3.412,2.344,0.435
3.361,3.298,2.695,0.878
3.378,3.580,2.382,0.618
3.394,3.359,2.412,0.557
3.410,3.496,2.756,0.710
3.426,3.321,2.511,0.573
3.442,3.046,2.443,0.695
3.459,3.527,2.542,0.244
3.475,3.557,2.626,0.511
3.491,3.328,2.344,0.466
3.507,3.176,2.489,0.924
3.524,3.412,2.282,0.771
3.540,3.328,2.588,0.687
3.556,3.328,2.237,0.718
3.572,3.504,2.519,0.611
3.588,3.252,2.504,0.634
3.605,3.458,2.550,0.550
3.622,3.489,2.458,0.626
3.638,3.092,2.634,0.374
3.655,3.351,2.557,0.595
3.671,3.458,2.580,0.588
3.687,3.420,2.366,0.511
3.703,3.374,2.405,0.527
3.720,3.282,2.580,0.695
3.736,3.443,2.397,0.542
3.752,3.282,2.374,0.366
3.768,3.252,2.344,0.351
3.785,3.290,2.740,0.580
3.801,3.321,2.588,0.527
3.817,3.679,2.496,0.603
3.833,3.282,2.595,0.458
3.849,3.435,2.336,0.702
3.866,3.481,2.069,0.679
3.882,3.450,2.504,0.740
3.898,3.374,2.397,0.718
3.914,3.573,2.824,0.458
3.930,3.328,2.824,0.550
3.947,3.450,2.573,0.534
3.963,3.305,2.260,0.656
3.979,3.351,2.427,0.397
3.995,3.366,2.328,0.779
4.011,3.130,2.534,0.672
4.028,3.519,2.687,0.313
4.044,3.504,2.649,0.931
4.060,3.198,2.679,0.458
4.076,3.153,2.511,0.466
