0.00, -3032, 204, 17224, -284, -715, 1070
0.13, 1968, -2224, 13216, 29, -506, 805
0.23, 2596, -2396, 14016, 77, 165, 255
0.31, -1800, -3780, 15064, 140, -488, 476
0.40, 5112, -944, 17432, -240, 628, 367
0.44, 3400, -904, 12668, 322, 790, 254
0.56, -1424, -1644, 15204, -75, -612, 785
0.65, 3612, -3200, 17316, -47, -375, 1638
0.74, 3124, 172, 12416, 194, 416, 2105
0.79, 3584, -1936, 17812, 375, 274, 1602
0.86, -1504, 3192, 16928, -333, 266, 1074
0.92, 7576, -1700, 20008, -919, 2183, 342
0.97, 4908, 1952, 16252, -836, 2351, 227
1.00, -1140, 2376, 13624, -154, 2534, 122
1.04, -4932, -932, 8736, 32, 2667, -497
1.11, -10336, -2244, 9164, -262, 2392, -39
1.15, -17772, -964, 9040, -347, 1449, -52
1.17, -16272, -2752, 7812, -390, 1274, 126
1.22, -10272, -2936, 9108, -112, -246, 317
1.26, -12688, -3268, 10892, -7, -627, -232
1.33, -8136, -6124, 10952, -425, -24, -160
1.36, -3596, -4440, 10176, -579, 268, -127
1.38, -5252, -3272, 16020, -784, 615, -193
1.42, -11192, -6008, 10460, -515, 780, -96
1.44, -10296, -6576, 15000, -946, 784, -26
1.46, -11632, -8696, 9424, -533, 803, 2
1.49, -11728, -8372, 10528, -552, 613, 257
1.52, -9804, -6148, 9788, -337, 721, 493
1.55, -10020, -6540, 5904, -218, 609, 113
1.60, -10604, -5344, 8144, 380, 421, -184
1.65, -13816, -6504, 12432, 349, 256, -283
1.70, -14492, -7524, 14980, -103, 144, 208
1.75, -11656, -4764, 7544, -253, -186, 424
1.77, -9692, -4444, 5040, -372, -2, 587
1.79, -9568, -6304, 8340, -436, 235, 755
1.82, -10444, -10020, 6800, -168, 481, 682
1.85, -11244, -9016, 8776, 59, 766, 576
1.90, -10952, -5636, 7860, 267, 557, 422
1.96, -14152, -916, 6808, 205, -483, 726
2.04, -9720, -5868, 9768, 216, -327, 636
2.06, -14140, -6196, 9648, 379, 662, -42
2.09, -17516, -2076, 9580, 383, 342, -445
2.13, -18672, -2216, 9404, 402, -164, -310
2.16, -19456, -1608, 8212, 295, -378, 190
2.19, -17820, -1536, 10592, 245, -743, 390
2.21, -16632, -1808, 9576, 251, -801, 639
2.26, -11216, -1820, 11156, 365, -819, 463
2.29, -4852, -2784, 7160, 346, 56, 15
2.34, -6604, -1540, 5400, 124, 1266, -745
2.39, -15808, 1232, 6612, -297, 883, -658
2.44, -21624, -5284, 8680, 193, -106, -325
2.48, -20608, -6092, 9872, 605, -685, -59
2.50, -18140, -5420, 8472, 828, -941, 5
2.53, -14516, -3136, 8880, 871, -893, -42
2.54, -12352, -2944, 9284, 944, 467, -22
2.66, -10024, -2892, 6444, 850, 737, -187
2.70, -13536, -504, 7480, 806, 756, -196
2.73, -16112, -1068, 7256, 823, 261, -188
2.77, -16752, 308, 8244, 680, 160, -160
2.80, -17500, 24, 4640, 441, -297, -23
2.86, -16016, 136, 7584, -30, -715, 234
2.89, -13244, 1140, 7892, -161, -617, 275
2.94, -13308, 656, 10756, -70, -358, 287
2.97, -12364, 724, 11868, -152, -301, 269
2.99, -12064, -1012, 11024, -149, -308, 510
3.01, -10892, -600, 10676, -223, -154, 182
3.03, -11024, -2236, 10860, -140, 98, 69
3.08, -8768, -1368, 10812, -240, 500, 50
3.12, -8712, -752, 10888, -354, 780, -11
3.17, -13792, -728, 9524, -78, 772, -134
3.25, -17036, -1592, 7952, 31, 259, -268
3.28, -17040, -836, 7420, 34, -91, -233
3.32, -13108, -1816, 8680, 85, -134, 233
3.38, -13356, -1176, 10300, -27, -224, 460
3.41, -12376, -1396, 8280, 24, -253, 523
3.45, -11936, -1292, 8956, -77, -41, 377
3.47, -11904, -804, 8124, 13, 351, -25
3.54, -13880, -1536, 9224, 21, 213, -29
3.59, -15208, -592, 9000, -50, 41, 41
3.62, -16088, -348, 10220, -97, -141, 276
3.64, -14372, -988, 7744, -159, -253, 324
3.67, -12200, -1112, 8056, -169, -193, 258
3.69, -10900, -732, 8272, -206, -125, 250
3.72, -9136, -1372, 9100, -101, 171, -353
3.76, -11724, -1876, 9516, 50, 382, -447
3.80, -13872, -1948, 10188, 115, 388, -586
3.85, -14532, -496, 9660, 91, 415, -545
3.88, -13964, -1044, 9176, 160, 460, 144
3.95, -15244, -1844, 8460, 150, 543, 420
4.04, -17004, 2408, 6064, -203, 119, 695
4.09, -16748, 580, 4608, -765, -191, 715
4.15, -12384, -1796, 5184, -430, -86, 639
4.19, -13188, -652, 5460, -262, 233, 577
4.22, -14376, 1368, 6976, -279, 522, 340
4.28, -16280, 320, 5100, -384, 505, 221
4.34, -14344, -968, 4716, -291, 592, 356
4.40, -15312, 1016, 4732, -326, 726, 198
4.47, -13692, 312, 3376, -48, 630, 176
4.50, -13924, 612, 4428, -109, 589, 7
4.53, -17124, 2264, 3792, -114, 625, -116
4.55, -20736, 3028, 3408, -81, -72, -573
4.62, -23796, 2732, 4376, -127, -1234, -524
4.67, -17172, -2460, 2404, -434, -2413, -34
4.73, -9604, -868, 7280, -568, -1618, 716
4.80, -7428, -2912, 10384, 43, 88, 1762
4.91, -4388, -3644, 11964, 66, 646, 1890
4.93, -8308, -408, 10816, -322, 1230, 482
5.01, -24672, -424, 10652, 237, -143, -714
5.05, -22748, 1244, 6548, 528, -1734, -324
5.14, -11064, 24, 8852, 524, -1819, -509
5.18, -8728, -864, 9824, 730, -1495, -447
5.21, -9300, 76, 12284, 858, -1036, -482
5.24, -8472, 880, 10664, 859, -1022, -555
5.29, -10716, 1832, 11828, 710, -484, -817
5.35, -9212, 156, 11052, 606, -327, -901
5.41, -9928, 1196, 12424, 733, -505, -587
5.48, -10340, 1916, 12752, 759, -540, -416
5.51, -12236, 2780, 10040, 638, -735, -119
5.58, -7992, 4004, 14580, 333, -763, -457
5.64, -8608, 6036, 14404, 238, -811, -883
5.69, -7308, 5440, 14080, 286, -1247, -430
5.75, -3616, 4160, 11732, 82, -1336, -160
5.80, 868, 4256, 11172, -25, -1423, -83
5.82, 1624, 4088, 15096, -390, -1312, -169
5.85, 2120, 4264, 14808, -632, -913, -475
5.87, 1248, 2956, 17060, -457, -458, -205
5.94, -1156, 2504, 14532, -98, -126, -81
5.99, 532, 4076, 14416, -356, 853, 151
6.10, -1676, 76, 13816, -188, 893, 30
6.18, -7612, 1520, 16036, -118, 111, 146
6.23, -6440, 144, 17020, 24, 23, 24
6.27, -2640, 1872, 15188, -452, -185, -579
6.32, 500, 4772, 15008, -106, 489, -1515
6.39, -2780, -2148, 12196, -97, 344, -1951
6.42, -4924, -7188, 14468, 67, 324, -2156
6.45, -6460, -2900, 12116, -4, 115, -2258
6.49, -4604, 36, 11924, 281, -178, -2277
6.56, -6076, -3648, 11964, 506, -555, -1921
6.61, -4952, -10064, 11100, 748, -811, -1542
6.66, -1784, -5092, 16792, 251, -725, -16
6.76, 9440, -1884, 16340, -64, 1168, 30
6.85, -7148, -2256, 14180, -122, 1722, -617
6.90, -12056, -1696, 15260, 439, -304, -1032
6.98, -8788, -3576, 13600, 518, -713, -801
7.05, -5040, -3400, 14000, 135, -451, -362
7.10, -5504, -2780, 14804, -44, -667, -86
7.12, -5528, -2388, 14308, -5, -754, 249
7.17, -4088, -3948, 12276, 199, -932, 619
7.20, -3428, -3140, 15916, 167, -1072, 899
7.26, 908, -3588, 14312, 171, -743, 790
7.33, -760, -1300, 14668, 525, -202, 751
7.42, -3348, -4652, 15412, 1054, -225, 707
7.45, 1820, -288, 15548, 525, -575, 965
7.54, 7140, -3692, 19156, -130, 355, 1219
7.59, 9232, -3120, 14096, -246, 1248, 958
7.62, 4876, -24, 15692, -312, 1755, 373
7.65, 1096, 2168, 14184, -601, 1510, -211
7.70, -7412, 4464, 15516, -336, 765, -167
7.73, -9244, 16, 13940, 58, -623, 247
7.78, -8012, -2184, 9292, 519, -1230, 1059
7.83, -644, -3368, 10996, 544, -817, 2194
7.87, 4560, -5748, 18152, 497, -728, 2591
7.92, 3356, -880, 18888, 76, 173, 2314
7.99, 7004, -1356, 14384, 14, 733, 1245
8.08, -2544, 384, 15284, 51, 340, -219
8.17, -2968, -1824, 15684, 740, -267, -691
8.21, -5172, 1896, 16220, 901, -527, -1117
8.25, -6580, 3436, 5436, 578, -80, -1193
8.29, -7844, 2900, 16724, 720, -523, -848
8.31, -4076, 2320, 15464, -212, -1323, 558
8.42, 884, -3768, 19884, -570, -288, 216
8.51, 3132, -2948, 15848, -262, 82, 134
8.58, 5072, -4836, 14124, -373, 147, 289
8.61, 1848, -4232, 16284, -306, 85, 67
8.70, 1020, -5456, 15500, -201, -136, 383
8.83, 2352, -5232, 15624, 177, 93, 392
8.87, 4904, -8276, 15080, 254, 560, 294
8.91, 4556, -10928, 13624, 487, 1198, 193
8.95, 720, -7052, 12308, 381, 1727, 206
9.00, -9036, -3436, 12980, 23, 356, -150
9.10, -8648, -6024, 14392, 285, -539, -166
9.17, -4216, -3676, 16288, -68, -576, -495
9.24, -5260, -9672, 14172, 276, -578, -522
9.28, -2844, -8064, 14964, 719, -243, -434
9.32, -4112, -16348, 15256, 1751, -697, -567
9.37, -936, 5684, 14248, 336, -1529, -41
9.44, 11468, 11416, 15020, -448, 22, -465
9.47, 10796, 11780, 16176, -693, 1010, -1088
9.50, 1476, 4456, 16416, -469, 1186, -986
9.53, -508, 2816, 12076, -275, 1558, -969
9.58, -528, 1176, 14900, -1117, 1259, -1169
9.62, -4324, -6840, 11860, -720, 929, -452
9.68, -4852, -7312, 18960, 379, 107, 1099
9.75, -9836, -2088, 15076, 620, -1245, 1904
9.82, -3852, -2436, 16704, -197, -2057, 1581
9.88, 4188, -5124, 11988, 181, -1369, 1322
9.93, 4384, -4672, 14404, 387, -288, 1145
9.99, 5272, -8812, 12588, 874, 382, 276
10.04, 4068, 1876, 15480, 366, -91, -113
10.11, 8940, -556, 19752, 84, 183, 223
10.13, 9736, -3600, 19580, 83, 787, 351
10.18, 7380, -5020, 17224, 686, 1426, -95
10.21, 4024, -5732, 14020, 878, 1331, 205
10.27, 4356, -96, 7952, 375, 904, 681
10.31, 100, 2984, 12820, 860, 814, 875
10.42, -4840, 8932, 17660, 486, -123, 1005
10.46, -6332, 4008, 13312, 367, -393, 537
10.50, -7240, 1644, 14532, -208, -1307, 597
10.55, -2484, 3776, 14788, -285, -1327, 1077
10.59, 2816, 5500, 13360, -1018, -1012, 1502
10.62, 4524, 2092, 13932, -569, -660, 1805
10.65, 5996, -396, 13068, -2, -317, 2175
10.71, 1868, -4408, 15916, 133, -728, 1557
10.81, 8956, 2572, 13528, 451, -209, 661
10.90, 8544, -436, 12680, 554, 419, 524
10.94, 8228, 3772, 16588, -115, 1396, 687
11.00, 3812, 3376, 16100, -220, 1002, 542
11.04, 2524, -4208, 14300, 496, 720, 214
11.11, 2472, -2576, 16272, 404, 830, 122
11.14, -1092, -1860, 13968, 323, 642, -344
11.18, -3268, 2552, 14272, 108, 616, -971
11.22, -3916, 3044, 15556, -4, -66, -1210
11.27, -3308, 2948, 15068, 79, -60, -1263
11.32, -3456, 1828, 14304, 96, -74, -1264
11.36, -4608, 1968, 14332, -31, -410, -1279
11.41, -5508, 3508, 14052, -255, -471, -1473
11.48, 1032, -7388, 8716, 986, -806, -521
11.52, 3836, -1736, 12884, -34, 568, -445
11.58, 2664, -2724, 12852, 123, 1840, -660
11.62, -9476, -13924, 13740, 798, 1996, -1510
11.65, -22516, -5536, 21288, 132, 717, -2212
11.68, -22616, -4916, 21712, -145, -556, -2015
11.70, -16300, -5816, 21612, -203, -1701, -1082
11.75, -5312, -16824, 15760, 185, -3020, -553
11.80, 13160, -20540, 19504, 2043, -2089, -733
11.83, 14704, 10192, 7260, 2298, -1391, -1456
11.87, 11128, 8824, -340, 2563, 1276, -2225
11.92, 3488, 16196, 3280, 3371, 2104, -1754
11.97, -6332, 32767, 18172, 1728, 2525, 425
12.02, -7880, 17416, 4648, 236, 70, 1316
12.12, -4680, 6712, 13392, -538, -836, 2100
12.21, 9388, 8224, 8080, -1000, -225, 1920
12.26, 6088, 7680, 11644, 857, 2007, 882
12.30, 9888, 14844, 9996, 1306, 1351, 314
12.38, 8488, 12784, 10772, 684, 2246, 962
12.41, 4476, 9412, 8640, 898, 2622, 1363
12.45, 2620, 10332, 7016, 938, 2460, 1370
12.47, 1124, 14684, 7920, 1004, 2543, 1005
12.53, -1560, 12104, 8800, 75, 1893, 274
12.61, -5552, 9404, 12940, 27, 1391, 410
12.65, -3476, 14952, 8276, -487, 565, 896
12.76, -4084, 11588, 8300, -558, 367, 1010
12.79, -2320, 10480, 12428, -449, 442, 1158
12.87, -2588, 13384, 11376, -774, 325, 1338
12.93, -2776, 11552, 11052, -887, 340, 1420
12.96, -260, 9628, 10572, -747, 94, 1630
12.99, -1592, 10904, 12672, -570, 16, 1567
13.02, -2284, 12852, 14232, -671, 145, 1915
13.07, -1304, 8136, 13144, -311, -297, 2370
13.12, 864, 4856, 12804, 345, -385, 2429
13.20, 6132, 8432, 12704, 128, 402, 2433
13.26, 3960, 9416, 15944, -504, 692, 2037
13.32, 4492, 7184, 18392, -1081, 834, 1806
13.41, 1660, -5520, 15480, -651, 784, 1914
13.47, 8100, 2148, 13128, -108, 1252, 1053
13.56, 3256, 1760, 13316, -201, 1699, 695
13.59, 1320, 3540, 12276, -438, 1775, 493
13.61, 240, 2008, 13296, -573, 1602, 361
13.66, -752, 1128, 16352, -774, 850, 191
13.71, 2012, 1844, 16784, -566, 1005, -7
13.77, -2432, 1600, 15756, 162, 224, 203
13.87, -4852, 792, 18844, -262, 357, 1318
13.95, -10500, 3608, 16748, -590, -15, 1780
14.00, -5668, 1868, 12576, -908, -876, 1406
14.07, -1176, 1200, 14044, -848, -691, 1262
14.13, -272, -1124, 15664, 14, -658, 977
14.19, 1352, -3020, 15772, 596, -615, 376
14.22, 400, 592, 14600, 615, -510, 210
14.26, 1008, 3252, 9568, 672, 318, 93
14.30, -1432, -6876, 15544, 1205, -280, -608
14.37, -3432, -140, 11732, 185, -1298, -818
14.43, -256, 5724, 15980, -855, -3683, 1857
14.46, 13716, 272, 21724, -1731, 4598, -2027
