0.00, -5388, -1268, 15164, 74, 59, 3
0.14, -5348, -1724, 14656, -1, 43, 92
0.22, -4944, -1212, 14884, 38, -256, 77
0.29, -5056, -1340, 15212, 70, 25, 60
0.32, -4228, -1340, 14872, 80, 72, 44
0.35, -4968, -1420, 14704, 63, 142, 16
0.37, -5232, -1628, 14164, 42, 128, 9
0.39, -5220, -1528, 14168, 12, 114, 31
0.42, -5648, -1724, 14756, -1, 71, 36
0.45, -5672, -1372, 14992, 20, -19, 53
0.49, -4980, -1212, 14932, 44, -50, 41
0.52, -5356, -960, 15836, 34, -14, 37
0.54, -4940, -1424, 15368, 67, -4, 31
0.56, -4376, -1352, 14976, 83, 43, 25
0.59, -4100, -1452, 14668, 89, 102, 7
0.61, -5028, -1544, 14512, 72, 135, -15
0.63, -5312, -1636, 14332, 46, 131, -15
0.65, -5296, -1524, 14480, 7, 106, 3
0.68, -5752, -1628, 14732, 8, 79, 28
0.70, -5880, -1596, 15164, 19, 23, 39
0.72, -5584, -1352, 15108, 34, -13, 39
0.74, -5104, -1280, 15020, 49, -25, 29
0.77, -5264, -956, 15112, 44, -12, 28
0.79, -5396, -1228, 15460, 53, 1, 23
0.80, -5020, -1440, 15344, 79, 16, 13
0.83, -4508, -1348, 14796, 91, 51, 10
0.84, -4436, -1480, 14656, 97, 90, -5
0.86, -4908, -1476, 14520, 86, 116, -32
0.89, -5364, -1684, 14192, 59, 105, -16
0.92, -5500, -1560, 14364, 20, 82, -3
0.94, -5608, -1584, 14896, 5, 53, 12
0.96, -5752, -1564, 14896, 25, 16, 25
0.98, -5636, -1276, 15100, 25, -22, 34
1.00, -5276, -1276, 15272, 45, -30, 32
1.02, -4960, -1024, 15108, 51, -21, 39
1.04, -5132, -1084, 15552, 48, 7, 30
1.06, -5208, -1448, 15252, 74, 8, 17
1.08, -4708, -1460, 15184, 92, 37, 23
1.10, -4348, -1348, 14756, 98, 77, 16
1.12, -4628, -1516, 14420, 91, 124, -9
1.14, -5244, -1568, 14496, 71, 122, -19
1.16, -5332, -1712, 14408, 50, 107, -1
1.17, -5412, -1576, 14364, 21, 99, 11
1.19, -5592, -1676, 14708, 17, 72, 30
1.21, -5864, -1556, 14876, 10, 38, 48
1.24, -5776, -1372, 15064, 27, -31, 68
1.26, -5360, -1156, 15124, 34, -50, 59
1.28, -4968, -1096, 14892, 49, -32, 63
1.29, -5308, -900, 15464, 34, -12, 60
1.32, -5324, -1244, 15124, 39, -4, 38
1.33, -4900, -1480, 15072, 65, 11, 41
1.36, -4384, -1216, 14748, 77, 62, 44
1.38, -4708, -1476, 14648, 71, 90, 22
1.39, -5220, -1596, 14668, 65, 99, 1
1.41, -5452, -1608, 14304, 43, 88, 6
1.43, -5604, -1696, 14184, 28, 66, 21
1.45, -5400, -1684, 14636, 3, 72, 42
1.47, -5564, -1652, 14844, 7, 48, 62
1.49, -5704, -1552, 15276, 19, 14, 71
1.50, -5552, -1244, 15032, 21, -9, 92
1.52, -5348, -1152, 15212, 26, -19, 99
1.54, -5016, -1316, 14980, 46, -24, 102
1.56, -4812, -1140, 15224, 61, -6, 106
1.58, -5244, -1284, 15348, 64, 34, 89
1.60, -5256, -1624, 15404, 102, 34, 84
1.62, -4868, -1356, 15280, 126, 55, 95
1.63, -4708, -1260, 15156, 137, 62, 112
1.65, -4904, -1368, 14864, 157, 73, 123
1.67, -5064, -1388, 15208, 134, 81, 158
1.69, -4748, -1352, 14812, 97, 84, 236
1.71, -4220, -1460, 14684, 111, 101, 297
1.72, -4256, -1184, 14032, 127, 123, 326
1.75, -5048, -760, 13852, 173, 163, 329
1.77, -5036, -264, 13176, 182, 204, 314
1.78, -6356, -572, 13200, 194, 121, 334
1.80, -7384, -172, 14212, 158, 67, 346
1.82, -8212, 668, 15512, 38, 73, 316
1.84, -8032, 284, 16612, -9, 3, 314
1.86, -6776, -184, 16516, -12, -21, 341
1.88, -6136, -776, 15776, -41, -50, 343
1.90, -6164, -2048, 14868, 67, -57, 288
1.92, -5780, -1476, 14624, 102, -16, 281
1.94, -5284, -1760, 13172, 147, -63, 319
1.95, -5236, -1400, 13148, 150, -255, 360
1.98, -6016, -816, 14504, 79, 70, 389
2.00, -7036, 96, 16404, -27, 89, 328
2.02, -5652, 344, 17556, -17, 129, 239
2.03, -2708, 1388, 15448, 23, 158, 160
2.05, -2880, 1556, 15124, 31, 209, 59
2.07, -3788, 1100, 14828, 39, 340, -24
2.09, -4920, 800, 13804, 32, 436, -47
2.11, -6460, 376, 13560, -20, 401, -27
2.13, -6888, -116, 13208, -14, 283, 18
2.15, -7672, -580, 13320, -59, 136, 77
2.16, -8164, -100, 13984, -153, -18, 113
2.18, -7048, -1192, 13292, -172, -154, 181
2.20, -5396, -1532, 13916, -117, -222, 259
