0.00, -2012, -1264, -3240, -184, -1122, -244
0.10, 1932, -668, 21860, -776, 876, 65
0.23, -2972, -3376, 16856, 582, 750, 362
0.31, -23364, -2516, 11388, 587, -344, -637
0.41, -7608, 1072, 4632, 217, -1390, -915
0.51, -4480, 480, 16284, -212, -497, -429
0.59, 2640, -4788, 19228, 217, 629, -153
0.66, -1408, -2912, 10116, 685, 1336, 111
0.69, 240, 344, 10564, 362, 1627, -194
0.73, -13044, -2708, 14152, -14, 1422, -822
0.76, -17540, -3632, 14960, -294, 775, -730
0.80, -16384, -4368, 14424, -12, -90, -803
0.88, -8404, -2244, 11064, 511, -286, -673
0.91, -9436, -3496, 10028, -170, -732, -282
1.02, -3452, -3808, 12872, -286, -574, 123
1.05, -2068, -1912, 15868, -396, -313, 187
1.10, -3272, -2344, 16084, -298, -215, 432
1.14, -2940, -3656, 13864, -228, -258, 657
1.21, -2196, -2408, 15276, -50, 395, 1125
1.32, -2208, -6636, 12580, -334, 987, 766
1.39, -15120, -2260, 16836, -396, -239, 461
1.45, -10040, -3440, 15792, -525, -860, 690
1.53, -4960, -7840, 7216, -292, -1317, 1360
1.59, -4052, 1152, 19120, 19, -1164, 1948
1.65, 7840, 3044, 12864, 30, 1402, 1467
1.70, -5136, 13620, 32767, -811, 1629, 1445
1.76, -19748, 16744, -708, -4422, 1004, 1118
1.80, -27000, -11768, 6496, -4951, -1687, 1381
1.85, -21824, 1736, -5200, -6789, -5009, 2101
1.88, -6388, -10724, -2232, -7349, -4977, 1207
1.92, 5012, -23532, 8216, -4371, -3566, 757
1.96, 968, -22232, 10932, -2311, -3524, 983
1.98, 7872, -19332, -6724, -2082, -3050, 943
2.00, 20256, -28320, -12948, -731, -991, 1075
2.03, 11776, -3320, 1176, -1051, 1096, 879
2.07, 5280, 6088, -8900, -165, 1481, 1295
2.11, -6912, 11684, -6776, 507, -828, 2468
2.14, -16932, -44, -3468, 277, -1661, 2495
2.16, -27064, -8796, -3280, 786, -2341, 2765
2.19, -25404, -11664, -2060, 2005, -6160, 3960
2.25, -1600, 32768, -7512, 3738, -6049, 4347
2.27, 5844, 32768, -2796, 4872, -5182, 4313
2.31, 27444, -13740, -3380, 5975, -2212, 3345
2.34, 15760, 11936, 21280, 5737, -800, 1705
2.38, -7012, 19596, 32767, -372, 1629, -677
2.42, -5932, -4144, 5776, 1450, 2639, -231
2.46, -8072, 4380, 4016, 1466, 2292, -287
2.51, -14172, 9644, 4288, 639, 1471, -272
2.54, -15612, 6720, 5856, 274, 488, -385
2.59, -14044, 5156, 9608, -208, -712, -830
2.62, -14180, 5592, 9096, -378, -1148, -884
2.66, -15280, 2444, 11832, 58, -1422, -1054
2.69, -13536, 108, 15296, 495, -1300, -1564
2.75, -5856, -1060, 11756, 994, -904, -1641
2.81, -8328, 3768, 12304, 1262, -542, -2165
2.84, -8156, 8892, 16324, 691, -463, -2625
2.90, -1880, 5540, 15504, 246, -53, -2277
3.01, -3808, -9312, 6532, 1093, 310, -2331
3.04, -1328, -7392, 4708, 1415, 673, -2312
3.08, -1248, 1012, 22956, 1287, 1776, -2458
3.15, -15984, -2892, 13884, 2480, 1300, -2036
3.19, -19476, 420, 1264, 2348, -573, -2867
3.25, -28048, 17328, 12448, 1281, -2929, -3145
3.29, -15728, 14812, 14252, 865, -3563, -3116
3.32, -5244, 17284, 19140, -150, -3635, -3500
3.35, 1552, 14768, 22984, -602, -3033, -3263
3.39, 7084, 112, 14792, -146, -582, -2480
3.42, 4616, -5616, 9192, 1196, 756, -2764
3.49, 4696, -6520, 6780, 1111, 1604, -3238
3.54, 520, -4744, 7136, 634, 2777, -2708
3.57, -1464, -6596, 5132, 842, 3038, -2133
3.61, -8968, 868, 15972, 1258, 2825, -1047
3.63, -17848, 2088, 16508, 1058, 2289, -30
3.69, -30264, 4688, 22924, 76, -2064, 557
3.74, -15068, 7784, 12700, 103, -3249, -749
3.78, -3656, 9316, 12452, -102, -3569, -1152
3.84, 9688, 5240, 12624, 192, -1248, -704
3.90, 10544, -1300, 14036, -4, 1022, -1239
3.94, 3988, 1932, 15712, -737, 1693, -1354
3.98, -3996, -1212, 10856, -147, 1581, -726
4.03, -9284, -1780, 16032, 684, 411, 679
4.11, -4008, 3816, 17756, 264, 460, 616
4.14, -6640, 3216, 14988, -93, 565, 164
4.18, -7108, 2592, 12744, -164, 366, 176
4.26, -8908, 1280, 13076, -237, 283, 234
4.29, -9812, 1076, 13504, -267, 163, 245
4.32, -10028, -824, 15588, -135, -32, 293
4.36, -8020, -792, 12776, 156, -134, 315
4.39, -8396, -364, 12740, 263, -150, 175
4.42, -10036, -208, 14768, 168, -81, 204
4.48, -10888, -48, 12960, 460, -371, 252
4.52, -8460, -736, 12796, 843, -583, 326
4.58, -10272, 1872, 12144, 167, -382, -49
4.63, -5232, 488, 12356, 131, -728, 160
4.67, 188, 2708, 15436, 21, 55, 363
4.73, -3732, 4628, 16640, -68, 313, -218
4.79, -6440, 3340, 14856, -266, -136, -384
4.90, -1116, 2900, 15404, -104, 271, 182
4.96, -5380, 3572, 16148, -283, 231, 764
4.99, -5200, 1500, 15684, -358, -118, 388
5.05, -2292, -176, 14408, -166, 6, 184
5.08, 40, 1168, 15392, -50, 779, 499
5.14, -2784, 84, 12116, -128, 1140, 159
5.19, -8672, 4144, 15908, -218, 579, 509
5.26, -10264, 2608, 14356, -251, 148, 400
5.29, -9404, 36, 11768, -133, -174, 44
5.35, -10292, -596, 12764, 29, -92, -194
5.38, -12476, -1388, 14376, -89, -92, -364
5.42, -9748, 884, 13972, 41, 35, -532
5.45, -8748, 852, 12316, 40, 38, -504
5.50, -11716, 988, 16372, 309, -530, -19
5.55, -5176, -360, 12152, 147, -608, -77
5.61, -592, 1300, 17400, -109, -142, 485
5.68, -4704, 864, 17156, 87, 111, 671
5.73, -3392, -2392, 13508, 329, 279, 792
5.78, -1988, 1188, 15732, 130, 164, 950
5.80, -1064, 984, 15496, -142, 799, 738
5.86, -6856, 2240, 15096, -262, 674, 705
5.89, -7344, 1600, 13656, -4, 263, 786
5.96, -2740, 2832, 15348, -241, 172, 647
6.02, -4148, 744, 20176, -1310, 869, 319
6.06, -14516, -3752, 21204, -2158, 846, -754
6.11, -9480, -11328, 6560, -1703, -196, -221
6.16, -4556, -15752, 5460, -602, -937, 329
6.20, -10180, -6972, 19540, 1603, -1538, 617
6.26, -3492, -5876, 8948, 2115, -341, 372
6.32, -1460, 16696, 23804, 299, 2338, -625
6.36, -10584, 6080, 16928, 314, 2523, -477
6.39, -18000, 5204, 6556, -367, 298, -1522
6.45, -20380, -3428, 5524, -1137, -1590, -1029
6.49, -7944, -5964, 7032, -1559, -3241, -1028
6.54, 5592, -9608, 9764, -551, -2710, -690
6.58, 10772, -5752, 13504, 1074, 544, -1493
6.62, 7716, -3436, 22480, 646, 2646, -1270
6.68, -2100, -5560, 13116, 332, 673, -159
6.82, -17380, 2840, 11092, -939, -1603, -430
6.87, -12244, -3852, 7664, -948, -2322, -312
6.89, -6592, -1856, 2632, -929, -2889, -94
6.93, 1772, -11800, 4524, 465, -2900, -124
6.97, 4736, -2688, 18840, 830, -281, -702
7.02, 11268, -5412, 21020, 731, 2026, -536
7.05, -260, -1988, 8704, 518, 2863, -20
7.10, -8452, 3132, 11184, 808, 2583, -116
7.16, -25400, -1060, 15832, 179, 141, -111
7.23, -11536, -1616, 10040, 153, -670, -1117
7.27, -8628, -1732, 11356, 414, -224, -961
7.31, -10380, -2052, 9428, 441, -528, -937
7.39, 468, 256, 16300, -686, -794, -67
7.45, 1532, -1820, 17772, -530, -162, 75
7.49, 1252, -3772, 15152, -273, 232, 57
7.52, -824, -3724, 14840, -189, 685, 134
7.56, -612, -4284, 12300, -26, 1329, 171
7.59, -2140, -5336, 10696, 177, 1538, -239
7.62, -10128, -6900, 12188, 258, 1381, -730
7.66, -14876, -3444, 17812, 198, 1028, -811
7.68, -13704, -3276, 18692, 279, 478, -1050
7.71, -11220, -6168, 14440, 692, 510, -1256
7.76, -12260, -2736, 10620, 899, 362, -1414
7.79, -14344, -652, 7052, 730, -143, -1336
7.83, -19076, 2156, 12164, 362, -1496, -957
7.90, 2696, -3776, 20108, -238, 282, -1679
7.98, 4664, -10928, 6432, 1666, 2817, -2197
8.02, -7628, -1232, 18648, 1751, 2580, -1829
8.08, -29812, -2888, 16768, 1330, -176, -1511
8.12, -17952, 9860, 10740, 1720, -1842, -1699
8.18, -9176, 8616, 20120, 964, -2128, -2483
8.23, 18348, 5216, 13212, -518, 618, -5084
8.30, 5812, -13372, 13632, 1071, 3108, -7293
8.37, -10584, -11456, -4020, 2764, 3973, -6650
8.41, -18924, -6540, -5212, 2641, 2998, -3213
8.46, -31940, -3348, -948, 3301, 540, -2725
8.49, 32768, 9600, 8500, 2736, -2810, -2593
8.52, 32768, -10892, 14256, 2110, -3754, -1677
8.56, -4564, 13568, 7176, 943, -6697, 21
8.59, 27320, 11780, 2796, 986, -5054, -722
8.62, 32767, -3196, -3044, 1471, -61, -223
8.67, 26608, 10288, 26676, 54, 3004, 1122
8.72, -5412, -15300, 22520, 639, 2258, -1340
8.77, -18360, -24584, -4508, 1273, -598, -695
8.91, -2776, -8576, 7516, -668, 3304, 938
8.96, -23916, -18396, 9304, -6542, -659, -1794
9.01, -3656, 32768, 8592, 4729, -260, -202
9.05, 21256, 7260, 15348, 4901, -1847, 559
9.10, -236, 24316, 32516, 14, 525, 2
9.16, -19156, -12928, -5700, -6343, -681, -1990
9.22, 4396, 32768, 10764, -3716, 249, -360
9.27, 6612, -4976, -17264, 5029, 2718, 552
9.32, -20896, 32767, 32767, 2119, -3211, -797
9.35, -7236, 32767, 23460, 2539, 494, 3360
9.38, 32768, 23312, 22500, -5087, 2019, -464
9.41, 32768, 32768, -2812, -573, -51, -5236
9.45, 12724, -28108, 1540, -372, -1320, -894
9.48, 21180, 7656, 1788, -80, -162, 3324
9.51, -29416, 24024, 32767, 3260, -1477, 2305
9.54, 3276, 32767, 32767, 4901, 5, 5512
9.58, -22608, -26112, -13844, -3781, 1685, -29
9.61, 32768, -17428, 7788, -1091, 649, -1087
9.64, -5752, -8512, 19420, -6695, -447, -3797
9.67, -8088, 32768, 26712, -4034, -1476, 121
9.70, 10300, -31128, -4012, 4064, -210, 1764
9.74, 13800, 4540, 32, 7941, -1221, 1040
9.77, 18236, 32767, 24980, 4341, 4085, 3277
9.81, 32768, 26620, 2888, -2891, 171, -844
9.84, -17560, -32668, 12068, 184, 825, -3347
9.86, -20732, -4796, 20516, -4610, -39, -3950
9.89, -18004, 32768, 22816, -6141, -1114, -2799
9.94, 2648, -18052, -24868, 5616, -1211, 2423
9.99, 2580, 32767, 5724, 6975, -7286, 1807
10.04, 4068, 12364, 13148, -2056, -878, -1508
10.14, 68, 32768, 4836, -1778, -611, -929
10.20, 8028, 8156, 25343, 516, 848, 1192
10.28, 23988, 32767, 17508, -1243, 8074, 354
10.31, -17688, 1196, -1720, -4779, 3161, 773
10.37, 32768, -30596, -2140, 3101, -186, 2483
10.40, 32768, 12828, 32600, 4384, -4971, 1070
10.46, 8832, 32767, 6076, -5401, -4058, 516
10.51, 28752, -5432, 11144, -2010, 1694, 1007
10.57, -2292, 2308, 32767, 1424, 774, 1587
10.65, -6640, 23744, 5684, -401, -374, 2444
10.68, 14335, 17836, -10540, 752, -1387, 3746
10.71, 2912, 18880, 5728, 251, -1745, 4396
10.75, 6324, -7632, 3632, -190, -1088, 2290
10.78, 11488, -4500, 4664, 562, 719, 222
10.82, 7412, 2144, -2480, 65, 1139, 742
10.85, 300, 800, -1472, 364, 948, 1169
10.88, -1152, 1132, 5604, 460, 955, 1122
10.91, -15068, 12372, 32767, 1311, 890, 1422
10.94, -13216, 17652, 32767, 53, 278, 1869
10.97, -720, -7364, 32767, -456, 490, 2357
11.00, 4448, 492, 20368, -988, 904, 2181
11.03, -132, 6192, 13296, -1769, 1574, 1629
11.06, -7776, 5748, 8676, -1911, 1302, 1377
11.10, -6672, -2172, 4004, -1401, 1027, 1721
11.13, -8920, -4184, 7508, -511, 473, 2089
11.15, -10368, -4948, 8260, -194, 287, 2461
11.18, -13536, -5456, 9876, -167, -494, 2679
11.21, -15180, -8932, 9108, -94, -1645, 2803
11.24, -6448, -8152, 13552, 653, -1981, 2265
11.27, 6184, -3396, 18032, 682, -1894, 2258
11.30, 13592, 4584, 18536, 274, -770, 2353
11.34, 6708, 10784, 20804, -179, 1006, 2378
11.37, -3964, 11860, 15644, -744, 1841, 2408
