0.00, -10416, -11468, 9028, 156, -82, -373
0.13, -9984, -11664, 11360, 809, -1096, -123
0.25, -5120, -7908, 11832, 1986, -1973, 635
0.36, -1620, -1788, 14436, 1631, -2303, 689
0.46, 3840, 1496, 15564, 643, -1127, 1216
0.57, 7832, 1664, 18080, 635, -672, 1043
0.68, 6660, 1436, 16124, 152, -227, 436
0.79, 6464, -296, 17104, -734, 712, -348
0.89, 3800, 400, 16992, -1247, 1516, -987
1.00, -524, -3896, 14928, -1632, 1069, -654
1.11, -1376, -8368, 15172, -486, -76, -1946
1.21, -680, -6404, 14276, 1550, -367, -4119
1.32, 2072, 304, 14888, 1736, 13, -4112
1.43, 496, 5552, 15324, 1393, 251, -3322
1.54, -1168, 7604, 14080, -647, 282, -634
1.65, -2964, 4532, 15164, -1956, 80, 816
1.76, 1280, 1240, 16756, -511, -395, 2490
1.87, 744, 336, 15724, 45, -507, 3092
1.98, 2500, 2008, 15904, -152, -229, 3901
2.09, 1936, -4016, 15852, -1276, 15, 4284
2.20, -1992, -6080, 12012, 1171, 484, -95
2.31, -776, -720, 15304, 1429, -336, -2978
2.42, -356, 1372, 15568, 2153, -489, -2587
2.53, -1880, 7232, 14748, 1527, -978, -3465
2.64, 1040, 11072, 17872, -2284, -281, -2244
2.75, 5032, 2296, 11136, -2946, -1310, -536
2.86, 1284, -3652, 16756, -419, -291, 1260
2.97, 1040, -4552, 15608, 458, -849, 2060
3.08, 2452, -3356, 16016, 280, -1157, 3309
3.19, 14196, -3060, 20520, 673, 392, 4718
3.30, 2436, -6964, 15588, 1046, 35, 377
3.41, 324, -1124, 15844, 2445, 167, -2810
3.52, -2332, 5676, 14812, 1332, -638, -3929
3.63, -1908, 8300, 15176, -347, -171, -3003
3.74, -3044, 4288, 16352, -892, -453, -1916
3.85, -3200, 3628, 9600, -2081, -1703, -86
3.96, 1792, -3928, 14412, -2070, -1820, 2002
4.07, 1516, -9580, 11764, -1600, -1770, 3682
4.18, 1180, -18488, 10636, 939, -800, 2529
4.29, 696, -9204, 12740, 3632, -246, -215
4.40, 2116, 56, 17124, 3116, -155, -303
4.51, 5516, 5152, 32732, 1785, -128, -2618
4.62, -1472, 8288, 13040, 449, 48, -2633
4.73, -3136, 7172, 15176, -315, 127, -2299
4.84, -4156, 6176, 15220, -1872, -199, -1797
4.95, -2392, -1864, 15780, -2453, -949, -318
5.06, -1104, -7716, 15260, -1368, -1142, 589
5.17, 524, -6616, 12968, -2031, -2089, 2163
5.28, 1396, -16624, 10316, -1276, -1760, 3417
5.39, -516, -15296, 10476, 724, -1081, 1802
5.50, -2044, -14260, 11968, 2280, -942, 2153
5.61, -480, -6088, 11216, 4119, -1605, 1543
5.72, 292, 4496, 15136, 1452, -573, -680
5.83, -1592, 3432, 17204, 788, -762, -3208
5.94, -1204, 5540, 14428, 268, -526, -4775
6.05, -1732, 3996, 12560, -37, -307, -5852
6.16, 4136, 2776, 19796, -1802, -415, -1469
6.27, -5920, -4656, 15720, -2156, -1377, 518
6.38, -2616, -8724, 13200, -2014, -2206, 1486
6.49, -2816, -12796, 9088, -2376, -3036, 2771
6.60, -1340, -20616, 4824, -940, -2326, 2935
6.71, -828, -18904, 6664, 856, -1524, 1760
6.81, -1780, -14072, 8796, 3113, -1513, 3020
6.93, -3332, -6312, 14980, 2470, -440, 1676
7.03, -6556, 296, 15944, 1667, -495, -1469
7.14, -5376, 1380, 15444, 1495, -1098, -3026
7.25, -3800, 5332, 15028, 1640, -1123, -3954
7.36, -3168, 7912, 13776, 801, -939, -5652
7.47, -2220, 7812, 16388, -431, -489, -2285
7.59, -5228, 4592, 15884, -1618, -1845, -716
7.70, 3044, -908, 11648, -2695, -3327, 1973
7.81, 7308, -7164, 10436, -1857, -3236, 3886
7.92, 1540, -19144, 10788, 566, -1462, 3321
8.03, 4412, -10600, 11360, 2599, -636, 4251
8.14, 1300, -6968, 14936, 2108, 97, 3857
8.25, -3440, -3152, 15340, 2018, 161, 554
8.36, -8228, 2352, 15224, 1751, -658, -3406
8.47, 10224, 4376, 11696, 912, -2387, -5498
8.58, -1692, 6032, 15516, 546, -681, -4876
8.68, -1044, 6372, 15820, -457, -716, -3424
8.80, -3356, 2456, 16104, -2589, -1975, -423
8.91, 772, -10348, 12164, -1641, -2772, 1061
9.02, 2776, -16304, 7444, -1645, -2910, 3835
9.13, 5036, -17732, 5544, 662, -2168, 4796
9.24, -2144, -19072, 7316, 2341, -1455, 3849
9.35, -2672, -9544, 13580, 1853, -185, 2588
9.46, -5160, -1436, 14088, 2101, -46, 1676
9.57, -7176, 2000, 15312, 1631, -263, -367
9.68, -7976, 4732, 15352, 609, -1360, -3348
9.79, -1300, 4452, 10620, 915, -2132, -7321
9.89, -3660, 3868, 16104, 518, -290, -5068
