0.00, -1356, -72, 16300, 15, 10, 13
0.13, -1504, -184, 16192, 13, 254, 9
0.26, -1320, -152, 16300, 16, 3, 15
0.37, -1784, -268, 16412, 15, 14, 11
0.47, -1412, -208, 16140, 14, 7, 14
0.59, -1784, -188, 16452, 17, -251, 14
0.70, -1444, -192, 16452, 19, 6, 13
0.81, -1528, -124, 16472, 22, 26, 7
0.91, -1780, 92, 16800, -3, -4, 38
1.02, -2004, -252, 16908, -4, -25, 464
1.13, -2164, 76, 17428, 377, -371, 787
1.24, -1800, 2732, 16992, 237, 588, -94
1.35, -2760, 1736, 18480, -339, -254, 25
1.46, -7932, 3032, 16836, -686, 1095, -807
1.57, -4036, -576, 12264, -695, 548, -1098
1.68, -2080, -3160, 13380, -500, 254, -836
1.79, -3020, -4644, 14568, -206, -43, -415
1.90, -1488, -4940, 14040, -201, 449, -322
2.01, -4760, -5600, 12224, -11, 675, -465
2.12, -6160, -5760, 14464, 182, 231, -1396
2.23, 692, -4532, 17408, 85, 107, -467
2.35, -5344, -7004, 13040, 25, 309, -56
2.45, -6156, -6924, 14556, 430, 347, -1240
2.57, -4200, -5128, 16136, 46, 599, -1967
2.68, -2512, -6196, 15736, -74, 981, -1424
2.79, -1740, -6764, 13944, -308, 2, -1019
2.90, 1916, -7368, 14116, -332, -393, 976
3.02, -2844, -7432, 15444, -387, -1034, 1945
3.12, -1988, -7288, 13800, -514, -1054, 1909
3.23, -3076, -7252, 14752, 152, -1176, 1773
3.34, -2568, -7792, 15140, 176, -663, 908
3.45, -3800, -7432, 12660, 279, 116, -135
3.57, -1932, -6264, 15140, 338, -154, -187
3.68, -1112, -5988, 15416, 315, 216, -318
3.79, -776, -5320, 15212, 12, -94, -214
3.90, -132, -5368, 16368, 133, -179, 25
4.01, -672, -5256, 16208, 86, -582, 204
4.12, 472, -5200, 14944, 283, -825, 504
4.23, 2420, -3980, 16728, 351, -652, 396
4.34, 2436, -3916, 15248, 46, -190, -17
4.46, 3872, -3400, 16556, -21, -82, 69
4.56, 2472, -5004, 15132, -84, 204, -253
4.68, 2084, -5296, 15788, -186, 219, 236
4.79, 1116, -5420, 15396, -34, 317, 144
4.90, 944, -4880, 15052, -68, 434, 57
5.01, 148, -5460, 15804, -1, 634, -107
5.12, -1236, -6536, 15016, -240, 400, 0
5.23, -2292, -6092, 15028, -300, 456, -153
5.34, -2040, -7512, 14552, -371, 676, -161
5.45, -3512, -8696, 13708, -473, 516, -110
5.56, -4404, -8176, 14324, 158, -265, 6
5.67, -4076, -8868, 13360, -112, -54, -55
5.78, -2960, -8660, 13624, -56, -36, 25
5.89, -3252, -8896, 12836, -138, 153, -120
6.00, -4004, -9044, 12844, 168, -65, 86
6.11, -4248, -8992, 13872, 248, -385, 161
6.22, -3396, -8128, 14492, 194, -816, 287
6.33, -2024, -8152, 14520, 28, -521, 109
6.44, -372, -7780, 14036, 119, -485, 205
6.55, -692, -7864, 14688, 169, -555, 327
6.66, 8, -7228, 14396, 68, -281, 28
6.77, 1028, -7120, 14872, -26, -267, 36
6.88, 1552, -7528, 14384, 54, -448, 200
7.00, 1992, -7200, 14100, 241, -757, 283
7.11, 3700, -7256, 13664, 347, -807, 243
7.22, 4368, -6464, 14992, 183, -233, 171
7.33, 3892, -6260, 14980, 208, -187, 63
7.44, 4096, -5832, 15120, -13, -31, -53
7.55, 4472, -5888, 14888, -51, -22, 12
7.66, 4724, -6216, 15688, 54, -133, 65
7.77, 4360, -6144, 14176, -38, 38, -61
7.88, 4576, -6260, 14512, -43, -15, -6
8.00, 4732, -6400, 13728, -88, 156, -99
8.11, 4588, -6436, 14804, 4, -29, -25
8.22, 4640, -6724, 13208, -4, 211, -148
8.33, 4332, -6316, 13692, -193, 83, 17
8.44, 4932, -6444, 14020, -34, 100, -65
8.55, 4544, -6632, 14180, 25, 29, 36
8.66, 4012, -6228, 13840, -67, 74, -56
8.77, 4652, -6116, 14788, -114, -11, 39
8.88, 4652, -6408, 14088, 103, -85, 69
9.00, 4604, -6460, 14628, 17, -29, -17
9.10, 5004, -6016, 13788, -104, -5, -45
9.22, 5444, -6304, 15228, 102, -105, 94
9.33, 4136, -6880, 13944, 31, -26, -27
9.44, 5504, -6372, 15080, 125, -63, 46
9.55, 4604, -6980, 13016, 7, 60, -73
9.66, 5160, -6316, 14804, 73, 1, 32
9.77, 4552, -6912, 13872, -255, 69, -54
9.88, 4996, -6308, 14404, -39, 38, -7
10.00, 4696, -6336, 14116, -10, 3, -54
